# contact :: ERA5 precipitation Afgh, Iran, Pak, 2024, m.zachariah@imperial.ac.uk 
#  Accumulated rainfall in Apr-May over Afgh, Iran, Pak at ERA5_AMseasonal_AfghIranPak
# year accRain
1950 46.206783
1951 50.889008
1952 31.184143
1953 41.307632
1954 50.390923
1955 46.514652
1956 39.679295
1957 99.41279
1958 47.096752
1959 53.658676
1960 75.55389
1961 83.73385
1962 57.75748
1963 90.44127
1964 49.28471
1965 63.82643
1966 49.554825
1967 56.294395
1968 57.370472
1969 73.28137
1970 31.102465
1971 39.48778
1972 77.66127
1973 42.27582
1974 47.94369
1975 57.447582
1976 60.74039
1977 62.992443
1978 36.239758
1979 62.568825
1980 32.110214
1981 53.23116
1982 50.3776
1983 80.58804
1984 42.907684
1985 54.763824
1986 52.513363
1987 54.41903
1988 35.08672
1989 40.104046
1990 41.89538
1991 82.53893
1992 87.90106
1993 50.47206
1994 49.369312
1995 69.147575
1996 50.40738
1997 68.940735
1998 63.795033
1999 29.948507
2000 14.065918
2001 21.67205
2002 52.168633
2003 52.11464
2004 40.34057
2005 51.840923
2006 27.676384
2007 29.88527
2008 45.46718
2009 73.474556
2010 52.151104
2011 38.701862
2012 56.179344
2013 55.940365
2014 68.19872
2015 49.372498
2016 57.255535
2017 34.188957
2018 59.6718
2019 86.49024
2020 65.211075
2021 42.350754
2022 28.01539
2023 46.745815
2024 111.80585
