# contact :: HighResMIP CNRM-CM6-1-HR OND tmean central South America drought 2023, c.barnes22@imperial.ac.uk 
# tmean [degC] OND mean temperature at CSA-drought_tas-ond_highresSST_CNRM-CM6-1-HR
# year tmean
1950 20.9629
1951 21.38416
1952 23.01536
1953 21.5189
1954 23.35864
1955 23.47317
1956 22.54774
1957 21.53113
1958 20.57268
1959 22.18389
1960 21.84489
1961 22.54126
1962 21.61448
1963 22.83431
1964 21.5255
1965 22.04488
1966 22.52792
1967 22.7701
1968 21.94441
1969 22.33127
1970 22.13822
1971 23.51404
1972 22.1177
1973 21.58721
1974 21.94563
1975 22.34322
1976 20.74217
1977 21.24566
1978 20.91152
1979 22.14413
1980 21.55989
1981 21.89079
1982 20.82443
1983 21.22273
1984 22.42474
1985 21.8989
1986 20.8629
1987 22.02434
1988 22.89717
1989 21.58026
1990 21.75917
1991 21.76064
1992 21.63441
1993 22.09175
1994 22.69828
1995 21.58777
1996 23.99372
1997 20.93046
1998 21.61951
1999 22.39728
2000 21.94409
2001 21.61744
2002 22.39064
2003 22.53152
2004 22.66455
2005 22.77292
2006 22.56851
2007 23.09091
2008 21.97178
2009 22.89133
2010 22.73244
2011 23.36193
2012 22.66041
2013 23.04992
2014 24.06096
2015 21.74457
2016 23.08226
2017 21.76376
2018 20.52305
2019 22.61843
2020 23.01823
2021 21.72449
2022 21.9272
2023 23.08035
2024 23.10862
2025 23.70569
2026 22.87171
2027 22.03675
2028 23.6026
2029 23.21575
2030 23.01341
2031 23.93416
2032 23.35181
2033 21.93301
2034 23.06977
2035 23.2919
2036 23.95663
2037 23.64109
2038 23.42805
2039 24.42207
2040 24.0207
2041 24.86619
2042 23.81641
2043 24.10725
2044 23.86892
2045 25.09314
2046 25.08713
2047 22.84115
2048 24.90194
2049 24.10903
2050 24.51931
