# contact :: cpc OND SPI central South America drought 2022, c.barnes22@imperial.ac.uk 
# spi [sd] OND SPI normalised against 1980-2010 at CSA-drought_spi-ond_cpc
# year spi
1979 0.9178607560980094
1980 0.5845582196173648
1981 -0.4344912712231034
1982 0.3329098129439859
1983 -0.2860360941685592
1984 0.03667220150549428
1985 -0.9693585136456556
1986 0.3121859462027881
1987 0.11447250207035467
1988 -1.6091455230730922
1989 -0.3044142386382946
1990 1.1860352267823742
1991 0.6809436513070678
1992 0.3534080004283634
1993 0.9074725788941101
1994 0.12308270618962483
1995 -1.5439919608752328
1996 0.3836584109888631
1997 2.167619116828123
1998 -1.2092169812040896
1999 -1.1647667442547522
2000 0.4662581312467435
2001 0.15867861323018587
2002 1.8790626600650167
2003 0.32303612852829144
2004 0.0834694281531754
2005 -1.0328517635202996
2006 0.7029041436186679
2007 -0.6667004340857585
2008 -1.0662298350276074
2009 1.345369501044115
2010 -1.7355191098942175
2011 -1.2036086653295588
2012 0.4137827402743225
2013 -0.6678410097595018
2014 0.23145128400069823
2015 1.4492188346581976
2016 0.18166460884098926
2017 -0.7391189102810171
2018 0.37206962140415223
2019 -0.447641087530443
2020 -1.9042109011573776
2021 -1.670339831772131
2022 -2.108969011281417
