# contact :: HighResMIP EC-Earth3P-HR OND effective precip (pr - evspsbl) central South America drought 2023, c.barnes22@imperial.ac.uk 
# eff_precip [mm/day] OND mean effective precipitation rate at CSA-drought_effpr-ond_highresSST_EC-Earth3P-HR
# year eff_precip
1950 7.505219
1951 7.147782
1952 7.325936
1953 7.513247
1954 8.135045
1955 6.529639
1956 5.972304
1957 7.935081
1958 6.809129
1959 7.871327
1960 7.036475
1961 7.667499
1962 6.730046
1963 7.261931
1964 7.926543
1965 8.475574
1966 7.013863
1967 7.838927
1968 7.933042
1969 7.27596
1970 5.946154
1971 8.718383
1972 8.445686
1973 6.622064
1974 8.588329
1975 7.718964
1976 8.570887
1977 7.942189
1978 7.771884
1979 7.920135
1980 6.144829
1981 7.572125
1982 7.942854
1983 7.422581
1984 6.614377
1985 7.258286
1986 7.703608
1987 7.834541
1988 7.414054
1989 7.599734
1990 8.072698
1991 8.598473
1992 7.730253
1993 7.483881
1994 7.515697
1995 6.76293
1996 6.864033
1997 7.998339
1998 7.8311
1999 7.889646
2000 7.950005
2001 6.625828
2002 8.378373
2003 7.51307
2004 8.55397
2005 7.872546
2006 7.686366
2007 7.571846
2008 7.033562
2009 7.800231
2010 7.660087
2011 7.070937
2012 6.449337
2013 7.997337
2014 8.290564
2015 9.275012
2016 6.710577
2017 6.332919
2018 8.329385
2019 6.737466
2020 6.523573
2021 8.200872
2022 7.865022
2023 7.717737
2024 6.557214
2025 6.658844
2026 5.766073
2027 8.391834
2028 8.419176
2029 7.803262
2030 7.969827
2031 6.705009
2032 6.907614
2033 9.360276
2034 8.240696
2035 6.769771
2036 7.533201
2037 8.016858
2038 8.592748
2039 7.725189
2040 8.691353
2041 6.980128
2042 7.989254
2043 8.321435
2044 6.826848
2045 8.469288
2046 7.315817
2047 6.699749
2048 8.032483
2049 7.339515
2050 8.861392
