# contact :: CORDEX spi spei over amazon river basin b.clarke@imperial.ac.uk 
# 6-month SPEI over ARB at spei_SAM-22_HadGEM2-ES_r1i1p1_RegCM4-7_JJASON_19700101-20501.dat
# time spei
1970 0.1861266755922302
1971 0.7410185349128936
1972 2.180858192248515
1973 0.9865959086556256
1974 1.643017712667783
1975 -0.8527415623050079
1976 -0.23138464850607893
1977 -0.04379424635439562
1978 -0.3712059326712316
1979 0.4459463863742847
1980 0.5801524290748888
1981 1.0530066912887301
1982 1.7866449392453205
1983 0.2257954082385491
1984 1.9001177161005298
1985 -0.6424481167866561
1986 -1.3774487740434789
1987 -0.5652544122565903
1988 1.2728598428545084
1989 -0.04198331110547519
1990 1.1204102241188774
1991 0.3816495303246769
1992 0.40235868818767323
1993 -1.1598315546321882
1994 -0.4513675354513813
1995 -0.36880066437398107
1996 -0.7542768506386118
1997 -1.1935532577852817
1998 -0.8238926164977154
1999 0.522223202866347
2000 0.08399938777921429
2001 0.8350981851791782
2002 -0.20906331889751645
2003 1.0288738504644441
2004 -0.34921327728399915
2005 -0.5876650065521853
2006 -1.6972213771959392
2007 0.9886536258799346
2008 0.016785799829049368
2009 -0.05181286001267502
2010 -2.1132708263214477
2011 0.741009408963322
2012 -0.21994579751214566
2013 -2.008129591909676
2014 -1.8231448645258717
2015 -1.630383814936376
2016 -1.5976709997934786
2017 -1.1682365243352386
2018 -0.49214351836284376
2019 -0.2657854899969603
2020 -1.5930336425025806
2021 -0.7111320164613861
2022 -1.8979920483313886
2023 -0.6385002128404943
2024 -0.9841270808045947
2025 -1.2155847931227362
2026 -0.12396908698566282
2027 -0.07147658632936393
2028 -0.5590709671529597
2029 -1.6349336330320416
2030 -1.4610752283946047
2031 -0.36558172401377226
2032 1.9195199292992304
2033 -1.695157431037367
2034 -2.1773747335123588
2035 -1.9898216204874535
2036 -1.0001299278126552
2037 -1.1106457804346461
2038 0.3070847591522029
2039 -0.5057890387744393
2040 -1.6629805764492855
2041 -1.592058578686666
2042 -1.2000461881615607
2043 -1.9303750035371965
2044 -0.8425979276651047
2045 -1.4840980127389047
2046 -2.084925178949348
2047 -1.5736716075107975
2048 -1.8104772330192374
2049 -0.401754441852422
2050 -1.7450256831353188
