# contact :: ERA5 rx21day-AMJ - Italy floods 2023, c.barnes22@imperial.ac.uk 
# rx1day [mm] April/May/June maxima of 21-day accumulated precipitation over Emilia-Romagna region at Italy-floods_rx21day-amj_era5
# year rx21day
1950 107.99246215820312
1951 121.74080657958984
1952 71.65206146240234
1953 150.52609252929688
1954 130.73626708984375
1955 77.51216125488281
1956 123.24358367919922
1957 180.07083129882812
1958 191.45974731445312
1959 83.32373046875
1960 141.01556396484375
1961 156.4932098388672
1962 97.58000946044922
1963 137.50897216796875
1964 138.54888916015625
1965 153.9795379638672
1966 85.5336685180664
1967 118.54312896728516
1968 175.731689453125
1969 107.81196594238281
1970 84.62979888916016
1971 141.32896423339844
1972 171.3136749267578
1973 110.41682434082031
1974 140.06581115722656
1975 101.13985443115234
1976 88.39157104492188
1977 104.54116821289062
1978 137.10691833496094
1979 95.2140121459961
1980 117.18806457519531
1981 129.40621948242188
1982 64.91621398925781
1983 144.4136199951172
1984 144.76597595214844
1985 91.63138580322266
1986 123.2243423461914
1987 100.61279296875
1988 121.60393524169922
1989 98.84817504882812
1990 139.18316650390625
1991 184.61834716796875
1992 80.82813262939453
1993 112.11067199707031
1994 141.43844604492188
1995 108.96366882324219
1996 122.72747802734375
1997 92.48308563232422
1998 80.89922332763672
1999 97.1899185180664
2000 87.90450286865234
2001 131.9710235595703
2002 123.87031555175781
2003 88.81949615478516
2004 113.4781265258789
2005 119.0990219116211
2006 62.83543014526367
2007 123.24699401855469
2008 139.0703582763672
2009 122.5762710571289
2010 121.93893432617188
2011 110.44982147216797
2012 110.25311279296875
2013 163.8987579345703
2014 118.86332702636719
2015 108.01165771484375
2016 110.444091796875
2017 66.96028900146484
2018 114.46675109863281
2019 180.9647216796875
2020 82.62030029296875
2021 81.67634582519531
2022 100.57496643066406
2023 237.56207275390625
