# contact :: CPC MAM PET - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# pet_mam [mm] MAM accumulated potential evapotranspiration (Thornthwaite) at EA-drought_pet-mam_cpc
# year pet_mam
1979 459.51754449619796
1980 518.2429594318112
1981 411.650541732004
1982 482.2705392990428
1983 569.8817139146844
1984 497.77926263514473
1985 441.90462465287106
1986 496.0633261334373
1987 526.4702954631038
1988 516.8320708840843
1989 433.40320662369913
1990 456.4437871144256
1991 491.49480950424356
1992 518.6674505200374
1993 445.49770439148506
1994 452.00181988454284
1995 422.953786401146
1996 464.2990850827962
1997 453.805424940305
1998 502.12792354655073
1999 451.6769743291061
2000 497.9738466206825
2001 491.60098483635227
2002 491.25638493870906
2003 542.3793823993556
2004 495.65089347790456
2005 550.8946924724886
2006 485.9461291082256
2007 543.7293666761682
2008 472.0213189657936
2009 548.2550796891418
2010 519.1276590256398
2011 534.3143558487316
2012 498.3691898661086
2013 458.5777757084477
2014 517.8712674024532
2015 536.5118779477388
2016 582.4985261112678
2017 570.2817815653601
2018 429.17424583170794
2019 549.1594534083144
2020 512.3632519053438
2021 523.92079233965
2022 559.8476977193175
