# contact :: CPC MAM temperature - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# tas_mam [degC] MAM mean daily temperature at EA-drought_tas-mam_cpc
# year tas_mam
1979 26.975594
1980 27.761488
1981 26.183905
1982 27.222864
1983 28.384798
1984 27.56252
1985 26.697155
1986 27.469053
1987 27.935843
1988 27.86408
1989 26.58286
1990 26.973213
1991 27.516401
1992 27.859457
1993 26.89665
1994 26.90664
1995 26.440119
1996 27.150831
1997 27.015945
1998 27.64809
1999 26.876476
2000 27.574507
2001 27.427053
2002 27.417397
2003 28.107069
2004 27.52733
2005 28.165276
2006 27.420532
2007 28.18197
2008 27.226482
2009 28.231575
2010 27.895277
2011 28.123623
2012 27.555109
2013 27.063284
2014 27.876059
2015 28.09377
2016 28.690956
2017 28.622953
2018 26.585932
2019 28.340317
2020 27.760592
2021 27.957993
2022 28.456478
