# contact :: CPC 24m accumulated precip - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# pr24 [mm] 2-year total precipitation (Jan-Dec) at EA-drought_pr24_cpc
# year pr24
1980 629.27295
1981 824.7862
1982 1089.9648
1983 825.1283
1984 567.82
1985 644.0368
1986 761.10297
1987 803.9338
1988 831.7276
1989 935.0565
1990 983.3673
1991 865.2767
1992 787.10803
1993 912.0363
1994 1033.502
1995 1031.6292
1996 918.96387
1997 1262.6804
1998 1302.3585
1999 838.75806
2000 650.91907
2001 640.88885
2002 872.0084
2003 907.0333
2004 784.3185
2005 652.5827
2006 928.54504
2007 1029.6653
2008 759.0676
2009 731.2776
2010 712.2965
2011 770.76855
2012 761.9079
2013 792.5489
2014 865.7135
2015 809.2107
2016 680.2237
2017 650.9296
2018 830.6719
2019 1004.66705
2020 1025.7043
2021 815.4232
2022 588.2868
