# contact :: CPC OND temperature - East Africa drought 2023, c.barnes22@imperial.ac.uk 
# tas_ond [degC] OND mean daily temperature at EA-drought_tas-ond_cpc
# year tas_ond
1979 26.292025
1980 26.694252
1981 26.259377
1982 25.78664
1983 26.832195
1984 26.132034
1985 26.117687
1986 26.647585
1987 27.012121
1988 26.249062
1989 25.927887
1990 26.249136
1991 26.689114
1992 25.74485
1993 25.825573
1994 24.987082
1995 25.895931
1996 25.669739
1997 25.11503
1998 25.990507
1999 25.6955
2000 26.29121
2001 26.390905
2002 26.162724
2003 26.246613
2004 25.923725
2005 27.042555
2006 26.377207
2007 26.301678
2008 26.522745
2009 26.733387
2010 27.081673
2011 25.778248
2012 26.895315
2013 26.28152
2014 26.843166
2015 27.356794
2016 27.22697
2017 26.914482
2018 26.459269
2019 25.887718
2020 27.1278
2021 27.227451
2022 26.959724
