# contact :: NAM-44_CCCma-CanESM2_r4_r2i1p1 cumulative DSR - Canada wildfires 2023, c.barnes22@imperial.ac.uk 
# cumDSR [] spatial mean of cumulative Daily Severity Rating from Jan-July each year over Eastern James Bay region at canada-wildfires_cumDSR_NAM-44_CCCma-CanESM2_r4_r2i1p1
# year cumDSR
1950 0.5835136
1951 2.2711728
1952 2.7676394
1953 4.351089
1954 3.3602345
1955 1.9157902
1956 2.9429958
1957 3.78308
1958 1.4704554
1959 1.8494024
1960 1.5035851
1961 2.517498
1962 5.959535
1963 1.4924829
1964 3.5543504
1965 1.349653
1966 1.8250738
1967 4.157068
1968 2.4846563
1969 1.6727369
1970 1.4174464
1971 5.0017467
1972 3.9062095
1973 2.4475625
1974 2.3773568
1975 1.4723785
1976 1.3467736
1977 3.2567048
1978 2.2852588
1979 4.090058
1980 2.9686136
1981 2.0747545
1982 0.947198
1983 2.0137267
1984 3.532591
1985 2.473967
1986 1.5426068
1987 3.5229566
1988 3.4266474
1989 4.813732
1990 3.1658714
1991 3.045308
1992 2.697705
1993 2.1273026
1994 2.7082288
1995 0.71574754
1996 2.642641
1997 2.078137
1998 3.3266187
1999 3.6291378
2000 2.9420702
2001 7.2833443
2002 3.1983724
2003 4.6329203
2004 4.3002453
2005 2.3819637
2006 2.1953983
2007 3.3173118
2008 2.7072186
2009 4.3063245
2010 1.6293055
2011 2.980162
2012 2.0291948
2013 6.575264
2014 1.5285605
2015 7.0056806
2016 2.2544851
2017 2.8405716
2018 2.3472788
2019 2.815429
2020 5.0492835
2021 3.4647577
2022 3.4427974
2023 3.6228113
2024 2.5310051
2025 4.279544
2026 4.9334955
2027 4.9421334
2028 3.8122656
2029 1.7115616
2030 4.7244163
2031 8.948194
2032 3.2229462
2033 2.8241916
2034 1.9853504
2035 4.9154577
2036 2.6118817
2037 4.356392
2038 2.636633
2039 2.6097326
2040 12.28248
2041 2.4835098
2042 4.789714
2043 6.134605
2044 5.8531814
2045 1.868953
2046 5.721822
2047 5.419094
2048 13.155054
2049 3.8494787
2050 5.401491
