# contact :: ERA5 fwi99_mjja - Canada wildfires 2023, c.barnes22@imperial.ac.uk 
# fwi99_mjja [] 99th percentile of May-August FWI over all days & grid cells in wider Eastern James Bay region at canada-wildfires_era5_fwi99-mjja
# year fwi99_mjja
1941 5.09538536071777
1942 3.08759413719177
1943 2.781723022460935
1944 4.011865425109858
1945 2.8844324588775594
1946 3.835136537551879
1947 3.7570159339904707
1948 3.3723590183258034
1949 2.9874917602539055
1950 3.039998846054075
1951 4.083419189453121
1952 3.231256408691402
1953 3.590406084060668
1954 4.840650310516329
1955 7.2463600540161
1956 2.844279508590698
1957 3.741133480072011
1958 3.9500685310363766
1959 2.478935956954956
1960 3.2490702438354493
1961 5.200624332427976
1962 6.678403301239014
1963 4.957700157165524
1964 5.572963542938228
1965 3.5470639133453368
1966 3.073938274383536
1967 4.9903144836425755
1968 4.945377311706541
1969 4.387759132385254
1970 4.688185005187987
1971 4.030351638793942
1972 4.158308086395256
1973 6.6398873901367175
1974 5.933049869537353
1975 4.4823159599304185
1976 8.241621551513653
1977 5.025897674560546
1978 3.3046637058258033
1979 4.8229088020324555
1980 4.026444797515866
1981 6.649937400817871
1982 4.047250232696533
1983 5.662364234924316
1984 3.5343053817749017
1985 6.508949413299555
1986 5.002565574645995
1987 4.1083386230468655
1988 4.607246932983398
1989 7.432009449005126
1990 4.463134899139404
1991 6.597134819030762
1992 4.162149143218987
1993 4.672674789428702
1994 4.369458732604979
1995 8.42676860809326
1996 6.964859752655025
1997 5.036831378936763
1998 6.74287599563597
1999 4.773183479309079
2000 5.371601371765132
2001 6.047372627258299
2002 6.617939586639395
2003 6.932305812835693
2004 3.239844512939453
2005 7.998572139739988
2006 5.386446247100826
2007 5.216760215759264
2008 3.7930704307556105
2009 4.66703140258789
2010 5.948089046478271
2011 5.181217823028563
2012 5.946276416778561
2013 9.68834621429443
2014 7.265731239318838
2015 3.4982573318481442
2016 4.2760464286804165
2017 4.222673587799072
2018 5.342271175384514
2019 3.429486207962035
2020 5.660496959686279
2021 5.768161926269524
2022 5.241058807373046
2023 13.040441570281978
