# contact :: UKCP-land-gcm (03) max temperatures Argentina/Paraguay heatwave 2022, c.barnes22@imperial.ac.uk 
# temperature [degC] 7-day max tmax Argentina/Paraguay at AR-PY_tasmax-7day_UKCP-land-gcm_03
# year tmax
1950 38.0803
1951 36.3511
1952 37.70752
1953 37.60203
1954 37.15819
1955 37.49626
1956 36.3849
1957 37.17836
1958 36.60902
1959 37.26459
1960 35.70508
1961 36.35109
1962 36.68237
1963 37.90135
1964 35.93236
1965 35.22484
1966 36.54216
1967 36.80406
1968 36.48512
1969 37.41052
1970 39.40487
1971 36.70133
1972 36.53902
1973 37.11386
1974 38.25597
1975 38.51722
1976 37.50429
1977 37.36616
1978 37.66159
1979 37.93731
1980 37.80401
1981 35.94565
1982 35.73557
1983 37.14267
1984 38.00362
1985 37.01071
1986 36.96844
1987 39.37384
1988 38.99831
1989 39.08891
1990 37.84691
1991 36.5645
1992 37.5351
1993 38.05508
1994 37.9955
1995 37.37545
1996 38.76619
1997 36.96737
1998 37.0618
1999 38.095
2000 37.05678
2001 36.73264
2002 37.63795
2003 39.5135
2004 37.30607
2005 37.80707
2006 39.9184
2007 38.29259
2008 38.75102
2009 37.1902
2010 38.64997
2011 38.37817
2012 37.80524
2013 40.01426
2014 39.32732
2015 39.68225
2016 38.43383
2017 38.50604
2018 38.82479
2019 39.02257
2020 38.80565
2021 38.05859
2022 38.39085
2023 39.35556
2024 40.64213
2025 38.96853
2026 38.78244
2027 37.54989
2028 39.58895
2029 39.70069
2030 38.93811
2031 37.69956
2032 38.33392
2033 40.58954
2034 40.44677
2035 39.32197
2036 39.65604
2037 39.76375
2038 40.60909
2039 39.66562
2040 41.06082
2041 40.00722
2042 42.22384
2043 41.3582
2044 41.27575
2045 38.28305
2046 41.89083
2047 40.07869
2048 42.17134
2049 41.14309
2050 40.99045
