# contact :: station 87244 max temperatures Argentina/Paraguay heatwave 2022, c.barnes22@imperial.ac.uk 
# temperature [degC] 7-day max tmax Argentina/Paraguay at AR-PY_tasmax-7day_station_87244
# [name, lon, lat, elev] = ['Villa Maria del Rio Seco', -63.68, -29.9, 341]
# year tmax
1960 35.114285714285714
1961 33.67142857142857
1962 37.41428571428571
1963 36.4
1964 35.65714285714286
1965 36.5
1966 36.57142857142857
1967 39.57142857142857
#1968 26.585714285714285
#1969 16.428571428571427
1970 36.142857142857146
1971 40.12857142857143
1972 35.25714285714286
1973 35.714285714285715
1974 34.699999999999996
1975 37.42857142857143
1976 35.614285714285714
1977 37.142857142857146
1978 35.42857142857143
1979 36.44285714285714
1980 34.42857142857143
1981 34.44285714285714
1982 35.628571428571426
1983 38.24285714285714
1984 34.42857142857143
1985 39.99999999999999
1986 37.24285714285714
1987 35.58571428571428
1988 38.92857142857143
1989 36.04285714285714
1990 35.457142857142856
1991 34.271428571428565
1992 34.41428571428571
1993 34.1
1994 37.628571428571426
1995 38.385714285714286
1996 33.71428571428571
1997 32.99999999999999
1998 34.94285714285714
1999 32.75714285714285
2000 34.48571428571428
2001 33.21428571428571
2002 37.17142857142857
2003 35.457142857142856
2004 35.49999999999999
2005 38.15714285714285
2006 35.05714285714286
2007 35.22857142857143
2008 36.6
2009 39.42857142857143
2010 35.371428571428574
2011 38.04285714285714
2012 36.442857142857136
2013 40.21428571428571
2014 37.857142857142854
2015 40.442857142857136
2016 36.74285714285713
2017 37.84285714285714
2018 35.714285714285715
2019 35.82857142857142
2020 34.4
2021 41.442857142857136
2022 39.98571428571428
